sg_uf;nm_municipio;ds_cargo;nr_turno;cd_cargo;pc_secoes_agregadas;pc_secoes_principais;pc_secoes_nao_instalada;pc_secoes_instalada;pc_comparecimento;pc_abstencoes;pc_votos_concorrentes;pc_votos_validos;pc_votos_nominais;pc_votos_legenda;pc_votos_anulados;pc_votos_anulado_subjud;pc_total_votos_nulos;pc_votos_nulos;pc_votos_nulo_tecnico;pc_votos_brancos;pc_vt_anulados_apu_sep;qt_aptos;qt_secoes_principais;qt_secoes_agregadas;qt_total_secoes;qt_comparecimento;qt_abstencoes;qt_votos_nom_validos;qt_votos_brancos;qt_votos_nulos;qt_total_vt_leg_validos;qt_vt_anulados_apu_sep;qt_total_votos_anulados;qt_votos_nulo_tecnico;qt_total_vt_anul_subjud;qt_votos_validos;qt_votos_concorrentes;qt_secao_nao_instalada;qt_elei_secao_nao_instal
BA;ITAGI;Governador;2;3;0,3519;0,6481;0;1;0,7498;0,2502;0,9518;1;1;0;0;0;0,0405;1;0;0,0077;0;10231;35;19;54;7671;2560;7301;59;311;0;0;0;0;0;7301;7301;0;0
BA;ITAGIBÁ;Governador;2;3;0,1961;0,8039;0;1;0,762;0,238;0,9417;1;1;0;0;0;0,0479;1;0;0,0104;0;12090;41;10;51;9212;2878;8675;96;441;0;0;0;0;0;8675;8675;0;0
BA;ITAGIMIRIM;Governador;2;3;0;1;0;1;0,7109;0,2891;0,943;1;1;0;0;0;0,0453;1;0;0,0117;0;6120;22;0;22;4351;1769;4103;51;197;0;0;0;0;0;4103;4103;0;0
BA;ITAGUAÇU DA BAHIA;Governador;2;3;0,0541;0,9459;0;1;0,7663;0,2337;0,9537;1;1;0;0;0;0,0376;1;0;0,0087;0;10852;35;2;37;8316;2536;7931;72;313;0;0;0;0;0;7931;7931;0;0
BA;ITAJU DO COLÔNIA;Governador;2;3;0;1;0;1;0,7155;0,2845;0,9546;1;1;0;0;0;0,0385;1;0;0,0068;0;5512;20;0;20;3944;1568;3765;27;152;0;0;0;0;0;3765;3765;0;0
BA;ITAJUÍPE;Governador;2;3;0,2692;0,7308;0;1;0,7314;0,2686;0,9422;1;1;0;0;0;0,0442;1;0;0,0136;0;17649;57;21;78;12908;4741;12162;176;570;0;0;0;0;0;12162;12162;0;0
BA;ITAMARAJU;Governador;2;3;0,0688;0,9313;0;1;0,7501;0,2499;0,9419;1;1;0;0;0;0,0437;1;0;0,0144;0;47514;149;11;160;35638;11876;33568;514;1556;0;0;0;0;0;33568;33568;0;0
BA;ITAMARI;Governador;2;3;0,04;0,96;0;1;0,7193;0,2807;0,945;1;1;0;0;0;0,0492;1;0;0,0059;0;6645;24;1;25;4780;1865;4517;28;235;0;0;0;0;0;4517;4517;0;0
BA;ITAMBÉ;Governador;2;3;0,2051;0,7949;0;1;0,7248;0,2752;0,9579;1;1;0;0;0;0,0343;1;0;0,0078;0;20018;62;16;78;14510;5508;13899;113;498;0;0;0;0;0;13899;13899;0;0
BA;ITANAGRA;Governador;2;3;0,1818;0,8182;0;1;0,7317;0,2683;0,9518;1;1;0;0;0;0,0376;1;0;0,0106;0;6317;18;4;22;4622;1695;4399;49;174;0;0;0;0;0;4399;4399;0;0
BA;ITANHÉM;Governador;2;3;0,0435;0,9565;0;1;0,7031;0,2969;0,927;1;1;0;0;0;0,0568;1;0;0,0162;0;16400;66;3;69;11531;4869;10689;187;655;0;0;0;0;0;10689;10689;0;0
BA;ITAPARICA;Governador;2;3;0,0656;0,9344;0;1;0,8147;0,1853;0,9547;1;1;0;0;0;0,0366;1;0;0,0087;0;18319;57;4;61;14925;3394;14249;130;546;0;0;0;0;0;14249;14249;0;0
BA;ITAPEBI;Governador;2;3;0,3;0,7;0;1;0,7157;0,2843;0,9461;1;1;0;0;0;0,044;1;0;0,0098;0;8089;28;12;40;5789;2300;5477;57;255;0;0;0;0;0;5477;5477;0;0
BA;ITAPETINGA;Governador;2;3;0,0727;0,9273;0;1;0,7801;0,2199;0,949;1;1;0;0;0;0,0369;1;0;0,0141;0;49686;153;12;165;38762;10924;36787;545;1430;0;0;0;0;0;36787;36787;0;0
BA;ITAPICURU;Governador;2;3;0;1;0;1;0,7307;0,2693;0,9408;1;1;0;0;0;0,0451;1;0;0,0141;0;24913;73;0;73;18205;6708;17127;257;821;0;0;0;0;0;17127;17127;0;0
BA;ITAPITANGA;Governador;2;3;0,3714;0,6286;0;1;0,692;0,308;0,9587;1;1;0;0;0;0,0355;1;0;0,0058;0;6749;22;13;35;4670;2079;4477;27;166;0;0;0;0;0;4477;4477;0;0
BA;ITAPÉ;Governador;2;3;0,0938;0,9063;0;1;0,7037;0,2963;0,9381;1;1;0;0;0;0,0495;1;0;0,0124;0;9366;29;3;32;6591;2775;6183;82;326;0;0;0;0;0;6183;6183;0;0
BA;ITAQUARA;Governador;2;3;0;1;0;1;0,7707;0,2293;0,946;1;1;0;0;0;0,0456;1;0;0,0084;0;6511;20;0;20;5018;1493;4747;42;229;0;0;0;0;0;4747;4747;0;0
BA;ITARANTIM;Governador;2;3;0,0435;0,9565;0;1;0,7407;0,2593;0,9444;1;1;0;0;0;0,0435;1;0;0,0121;0;14397;44;2;46;10664;3733;10071;129;464;0;0;0;0;0;10071;10071;0;0
BA;ITATIM;Governador;2;3;0,05;0,95;0;1;0,7968;0,2032;0,9522;1;1;0;0;0;0,0359;1;0;0,0119;0;12872;38;2;40;10257;2615;9767;122;368;0;0;0;0;0;9767;9767;0;0
